4.00000 + 0.00000i
-5.26197 + 7.87510i
1.41421 + 3.41421i
-1.35115 + -0.26876i
-2.00000 + 2.00000i
0.17958 + 0.90281i
-1.41421 + -0.58579i
-1.56645 + 1.04667i
0.00000 + 0.00000i
-1.56645 + -1.04667i
-1.41421 + 0.58579i
0.17958 + -0.90281i
-2.00000 + -2.00000i
-1.35115 + 0.26876i
1.41421 + -3.41421i
-5.26197 + -7.87510i
